SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	March 21, 2019	March 20, 2019	March 19, 2019	March 18, 2019	March 15, 2019
Chinese yuan		0.1069800000	0.1067910000	0.1068770000	0.1069400000
Euro		0.8144750000	0.8147000000	0.8141800000	0.8121470000
Japanese yen		0.0064278300	0.0064458300	0.0064312100	0.0064205800
U.K. pound		0.9485110000	0.9523840000	0.9514540000	0.9526280000
U.S. dollar		0.7173460000	0.7172920000	0.7174020000	0.7182060000
Algerian dinar		0.0060508200		0.0060444400	0.0060439800
Australian dollar		0.5075220000	0.5096360000	0.5104320000	0.5085620000
Botswana pula		0.0669284000	0.0669951000	0.0670771000	0.0669368000
Brazilian real		0.1893180000	0.1899810000	0.1882700000	0.1873350000
Brunei dollar		0.5304640000	0.5311310000	0.5305840000	0.5300020000
Canadian dollar		0.5386690000	0.5396420000	0.5375810000	0.5383050000
Chilean peso		0.0010790700	0.0010750600	0.0010717300	0.0010709600
Colombian peso		0.0002317470	0.0002312170	0.0002296950	0.0002284070
Czech koruna		0.0317592000	0.0318273000	0.0317842000	0.0316474000
Danish krone		0.1091440000	0.1091740000	0.1091090000	0.1088170000
Indian rupee		0.0104174000	0.0104585000	0.0104564000	0.0103767000
Israeli New Shekel		0.1988210000	0.1989160000	0.1992230000	0.1992800000
Korean won		0.0006343140	0.0006327000	0.0006314600	0.0006340660
Kuwaiti dinar		2.3639700000	2.3637900000	2.3633700000	2.3660200000
Malaysian ringgit		0.1759490000	0.1760440000	0.1757260000	0.1755790000
Mauritian rupee		0.0207621000	0.0207383000	0.0207174000	0.0207137000
Mexican peso		0.0379351000	0.0377514000		0.0373723000
New Zealand dollar		0.4903060000	0.4909150000	0.4910620000	0.4913970000
Norwegian krone		0.0840397000	0.0842109000	0.0841794000	0.0838301000
Omani rial		1.8656600000	1.8655200000	1.8658000000	1.8679000000
Peruvian sol			0.2173610000	0.2175920000	0.2179020000
Philippine peso		0.0135894000	0.0136152000	0.0136158000	0.0136564000
Polish zloty		0.1899400000	0.1896440000	0.1894080000	0.1889320000
Qatari riyal		0.1970730000	0.1970580000	0.1970880000	0.1973090000
Russian ruble		0.0111597000	0.0111525000	0.0110934000	0.0109784000
Saudi Arabian riyal		0.1912920000	0.1912780000	0.1913070000	0.1915220000
Singapore dollar		0.5304640000	0.5311310000	0.5305840000	0.5300020000
South African rand		0.0496648000	0.0498641000		0.0496432000
Swedish krona		0.0779055000	0.0777873000	0.0777436000	0.0775107000
Swiss franc		0.7181720000	0.7173280000	0.7172940000	0.7153800000
Thai baht		0.0226135000	0.0226561000	0.0226603000	0.0226385000
Trinidadian dollar		0.1058830000	0.1060330000	0.1062870000	0.1062940000
U.A.E. dirham		0.1953290000	0.1953140000	0.1953440000	0.1955630000
Uruguayan peso		0.0215251000	0.0215987000	0.0214714000	0.0214717000

Currency units per SDR(3)

Currency	March 21, 2019	March 20, 2019	March 19, 2019	March 18, 2019	March 15, 2019
Chinese yuan		9.347540	9.364080	9.356550	9.351040
Euro		1.227780	1.227450	1.228230	1.231300
Japanese yen		155.573000	155.139000	155.492000	155.749000
U.K. pound		1.054280	1.050000	1.051020	1.049730
U.S. dollar		1.394030	1.394130	1.393920	1.392360
Algerian dinar		165.267000		165.441000	165.454000
Australian dollar		1.970360	1.962180	1.959120	1.966330
Botswana pula		14.941300	14.926500	14.908200	14.939500
Brazilian real		5.282120	5.263680	5.311520	5.338030
Brunei dollar		1.885140	1.882770	1.884720	1.886790
Canadian dollar		1.856430	1.853080	1.860180	1.857680
Chilean peso		926.724000	930.181000	933.071000	933.742000
Colombian peso		4,315.050000	4,324.940000	4,353.600000	4,378.150000
Czech koruna		31.486900	31.419600	31.462200	31.598200
Danish krone		9.162210	9.159690	9.165150	9.189740
Indian rupee		95.993200	95.616000	95.635200	96.369800
Israeli New Shekel		5.029650	5.027250	5.019500	5.018070
Korean won		1,576.510000	1,580.530000	1,583.630000	1,577.120000
Kuwaiti dinar		0.423017	0.423049	0.423125	0.422651
Malaysian ringgit		5.683470	5.680400	5.690680	5.695440
Mauritian rupee		48.164700	48.220000	48.268600	48.277200
Mexican peso		26.360800	26.489100		26.757800
New Zealand dollar		2.039540	2.037010	2.036400	2.035010
Norwegian krone		11.899100	11.874900	11.879400	11.928900
Omani rial		0.536003	0.536044	0.535963	0.535361
Peruvian sol			4.600640	4.595760	4.589220
Philippine peso		73.586800	73.447300	73.444100	73.225700
Polish zloty		5.264820	5.273040	5.279610	5.292910
Qatari riyal		5.074260	5.074650	5.073880	5.068190
Russian ruble		89.608100	89.666000	90.143700	91.088000
Saudi Arabian riyal		5.227610	5.227990	5.227200	5.221330
Singapore dollar		1.885140	1.882770	1.884720	1.886790
South African rand		20.135000	20.054500		20.143700
Swedish krona		12.836100	12.855600	12.862800	12.901400
Swiss franc		1.392420	1.394060	1.394130	1.397860
Thai baht		44.221400	44.138200	44.130000	44.172500
Trinidadian dollar		9.444390	9.431030	9.408490	9.407870
U.A.E. dirham		5.119570	5.119960	5.119170	5.113440
Uruguayan peso		46.457400	46.299100	46.573600	46.572900


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
